,nombre_pais,sede_id,red_social,url
67,REINO  DE  ESPAÑA,CTENE,Facebook,www.facebook.com/argentinaentenerife
68,REINO  DE  ESPAÑA,CVIGO,Facebook,facebook.com/ArgentinaenVigo
69,REINO  DE  ESPAÑA,CVIGO,Instagram,https://www.instagram.com/argenvigo/
70,REINO  DE  ESPAÑA,EESPA,Facebook,https://www.facebook.com/argenespa/
71,REINO  DE  ESPAÑA,EESPA,Instagram,https://www.instagram.com/argenespa/
72,REINO  DE  ESPAÑA,EESPA,Twitter,https://twitter.com/ARGenesp
73,REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,Facebook,https://www.facebook.com/ArgEnPaisesBajos/
74,REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,Twitter,https://twitter.com/ArgentinaEnPB
75,REINO  DE  MARRUECOS,EMARR,Instagram,https://www.instagram.com/marruecos.embajada/
76,REINO  DE  MARRUECOS,EMARR,Twitter,https://twitter.com/ArgMarruecos
77,REINO  DE  NORUEGA,ENORU,Facebook,https://www.facebook.com/ArgentinaEnNoruega/
78,REINO  DE  NORUEGA,ENORU,Instagram,https://www.instagram.com/ARGenNoruega/
79,REINO  DE  SUECIA,ESUEC,Facebook,https://www.facebook.com/arginsweden/
80,REINO  DE  SUECIA,ESUEC,Instagram,https://www.instagram.com/arginsweden/
81,REINO  DE  SUECIA,ESUEC,Linkedin,https://se.linkedin.com/showcase/arginsweden
82,REINO  DE  TAILANDIA,ETAIL,Facebook,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F
83,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,CLOND,Instagram,https://www.instagram.com/consuladoargentinoenlondres/
84,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Facebook,https://www.facebook.com/ARGinUK/
85,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Flickr,https://www.flickr.com/photos/138300767@N07/albums
86,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Instagram,https://www.instagram.com/arginuk/
87,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Twitter,https://twitter.com/ARGinUK
88,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,ERUNI,Youtube,https://www.youtube.com/channel/UCzaGU10f-77SR56kini9-1g/videos?view_as=subscriber
89,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Facebook,facebook.com/ArgentinaEnArgelia
90,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Instagram,https://instagram.com/argenargelia
91,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,EARGE,Twitter,https://twitter.com/ARGenArgelia
